ID,Date,Source,Language,Score,Text,Review
12,2023-03-17,Google,Vietnamese,100,"Không gian thoáng, dịch vụ chuyên nghiệp","The room is big, the service is friendly, the breakfast is delicious, but the pillows are too soft. Although there are four pillows, none of them are comfortable to lie on. Overall, it is recommended"
13,2023-03-14,Google,Vietnamese,100,Rất tốt,"This hotel is located in the new city center, and the rooms are spacious and well-equipped, but there are few commercial facilities around.
It has been said for many years that it is a city that will develop from now on, but it seems that development has not progressed due to the influence of Covid-19.
Still, I have high hopes for future developments. "
55,2022-11-29,Google,Vietnamese,100,Tuyệt vời,Hotel location is excellent
14,2023-03-14,Ctrip,English,100,"Good hotel and nice place
Food is good test
Clean room
Lovely people","I booked the suite, everything was fine except one thing .... don't know how to adjust the temperature of the AC ....."
14,2023-03-14,Ctrip,English,100,"Good hotel and nice place
Food is good test
Clean room
Lovely people",Breakfast is delicious!
14,2023-03-14,Ctrip,English,100,"Good hotel and nice place
Food is good test
Clean room
Lovely people",Nice location....Vip
15,2023-03-13,Google,Vietnamese,100,Đồ uống rất tuyệt vời,"Luxury Hotel in Vietnam~ The room is pleasant, the breakfast is delicious, and the lobby is nice. It's a pity that I stayed short due to my schedule."
16,2023-03-13,Google,Chinese,80,住一個禮拜今天剛住，網路有時收不到。,"Worth continuing to stay, sanitation and breakfast are good"
17,2023-03-12,Google,Vietnamese,80,Nơi chạy giải Halfmarathon Bình Dương,"There is an important thing to say, the name of this hotel should be Becamex Hotel in Binh Duong New City. Especially when taking a taxi from the airport to the hotel, remember not to mention Thu Dau Mot, the driver will send you to the Bekamex Hotel in Thu Dau Mot. The hotel is comfortable"
18,2023-03-10,Agoda,Japanese,100,出行方便，环境好，不知道住了多少次了，非常好,"Continental breakfast, nice service"
18,2023-03-10,Agoda,Japanese,100,出行方便，环境好，不知道住了多少次了，非常好,"The hotel has too many rules for guests, should not stay"
19,2023-03-04,Agoda,English,80,樓下 family mart 方便,"A hotel in the development zone is surrounded by factories, suitable for business trips, and there are many Chinese restaurants next to it"
20,2023-03-04,Agoda,Chinese,76,含有免痔馬桶 ，早餐多元,"Good breakfast, nice swimming pool,"
20,2023-03-04,Agoda,Chinese,76,含有免痔馬桶 ，早餐多元,I only had a coffee downstairs. Good.
21,2023-02-28,Ctrip,Chinese,40,房間越來越舊。低樓層濕氣重,very bad
22,2023-02-20,Google,Chinese,100,房間很大，服務親切早餐好吃 但是枕頭太軟了 雖然有四顆枕頭但是沒一顆好躺 整體而言很推薦,"The hot spring is very good, authentic sulfur spring, breakfast and dinner are very good.
A bit far from the cable car station"
22,2023-02-20,Google,Chinese,100,房間很大，服務親切早餐好吃 但是枕頭太軟了 雖然有四顆枕頭但是沒一顆好躺 整體而言很推薦,"good appartement size with balcony.
busy breakfast"
22,2023-02-20,Google,Chinese,100,房間很大，服務親切早餐好吃 但是枕頭太軟了 雖然有四顆枕頭但是沒一顆好躺 整體而言很推薦,Good breakfast and nice environment
23,2023-02-20,Agoda,Japanese,76,"新都心に立つホテルで、部屋は広く、設備も整っているが、周りに商業施設は少ない。
これから発展していく都市と何年も前から言われているが、コロナの影響でなかなか開発が進んでいない様子。
それでもこれからの発展には期待したい。",Restaurant here having cuisine of Vietnam and other nations. Decoration great and good price. Service and taste also good. Highly recommend
24,2023-02-20,Agoda,Chinese,100,飯店位置極佳,"Nothing much nearby except for a Hikari. Room is spacious, will be better if they have bath tub"
25,2023-02-20,Agoda,English,100,"I booked the suite, everything was fine except one thing .... don't know how to adjust the temperature of the AC .....",Did not seem to change the pillow case?  Weird smell when you sleep on it. I would want to stay at the hotel section of the complex instead of the Apartment section next time.
26,2023-02-20,Agoda,Chinese,100,早餐 好好吃！,Convenient in the center of the new city Close to Hikari in the restaurant area
27,2023-02-12,Google,Vietnamese,100,Vị trí đẹp ....Vip nhé,The biggest and most luxurious hotel in the area. Professional working style
28,2023-02-07,Google,Korean,100,베트남 럭셔리 호텔~ 방도 쾌적하고 조식도 맛있고 로비도 근사하다. 일정때문에 짧게 머물러서 아쉽다,Very OK
28,2023-02-07,Google,Korean,100,베트남 럭셔리 호텔~ 방도 쾌적하고 조식도 맛있고 로비도 근사하다. 일정때문에 짧게 머물러서 아쉽다,"The honesty of the staff is doubtful. On 12/13 check out, I found that I forgot the money in the room that night, but the counter said that I couldn’t find it after searching for it 3 times. Will the money run away by itself? Or housekeeping? who knows? "
29,2023-02-07,Ctrip,Chinese,100,值得续住 环境卫生 早餐都不错,Convenient for factory visits but too far from HCMC. Service is cumbersome to an American but probably normal for Asia. Restaurant if FANTASTIC! Make sure you grab breakfast. Room was clean and modern. Great shower.
29,2023-02-07,Ctrip,Chinese,100,值得续住 环境卫生 早餐都不错,"The facilities are in place, especially the breakfast is recommended. It is a high-end business hotel"
30,2023-02-07,Ctrip,Chinese,100,有个重要的事情要说下，这酒店的名字应该叫平阳新城贝卡梅克斯酒店。特别从机场打出租车到酒店的时候，切记不要讲到土龙木，司机会把你送到土龙木的贝卡梅克斯酒店。酒店住的还舒适,"There are not many choices in the New city. The swimming pool is very good, the breakfast is rich, the sound insulation is very good, the location is very good, very convenient."
30,2023-02-07,Ctrip,Chinese,100,有个重要的事情要说下，这酒店的名字应该叫平阳新城贝卡梅克斯酒店。特别从机场打出租车到酒店的时候，切记不要讲到土龙木，司机会把你送到土龙木的贝卡梅克斯酒店。酒店住的还舒适,will definitely recommend
31,2023-02-02,Ctrip,English,100,"Continental breakfast, nice service","The best hotel in Binhduong New City, the facilities such as the gym are good, the bed is a bit hard"
31,2023-02-02,Ctrip,English,100,"Continental breakfast, nice service","The outside looks old but the inside is first class and clean
Breakfast is substantial, too. Crowded when there is an exhibition nearby."
32,2023-02-02,Agoda,Vietnamese,40,"Khách sạn quá nhiều quy định cho khách, k nên ở","It's an old hotel, but I like it because it's luxurious Nearby activities: The surrounding facilities are weak"
33,2023-01-31,Ctrip,Chinese,80,开发区的一个酒店 周边都是工厂 适合出差 旁边中国餐厅挺多,Good service
34,2023-01-26,Ctrip,Chinese,100,早餐很好，游泳池很好，,Nearby activities: Golf
34,2023-01-26,Ctrip,Chinese,100,早餐很好，游泳池很好，,event venue with good service
35,2023-01-26,Google,English,100,I only had a coffee downstairs. Good.,"Big room, great value for money
The breakfast is rich and satisfying.
There is no entertainment around the hotel, only the convenience store downstairs"
35,2023-01-26,Google,English,100,I only had a coffee downstairs. Good.,The environment is very good and the service is good
36,2023-01-18,Ctrip,Chinese,20,特别特别不好,"Luxury hotel in Binh Duong New City of Becamex Group. The location is extremely convenient for customers to attend events - exhibitions in Binh Duong New City. The hotel is 5 star standard but only 4 star. With room types from low to high standards, VIP meeting room, Ballroom, swimming pool, Eit's cafe with green space and professional service staff. On the roof there is a tennis court, a large, open area overlooking the New City, suitable for Teambuilding activities. It also has an indoor or outdoor wedding reception hall. The hotel has an extremely friendly, enthusiastic and well-trained staff."
37,2023-01-17,Booking.com,Chinese,90,"溫泉非常棒，正宗的硫磺泉，早晚餐都很不錯.
離纜車站有點距離","Right in front of the 4 Hung Vuong and Ly Thai To intersections, adjacent to the administrative center of Binh Duong province, opposite the recently inaugurated internationalConvention Hall; New city center, adjacent to existing residential area The complex has a very large outdoor car park, including: The hotel has a very large reception hall, beautifully decorated, a swimming pool next to a luxury connecting lobby road, beautiful view, bar; That lobby on the right has a cafe and dining with many beautiful photo corners; 1st floor restaurant with large banquet hall,… Space for relaxation, conference, party class of BD"
37,2023-01-17,Booking.com,Chinese,90,"溫泉非常棒，正宗的硫磺泉，早晚餐都很不錯.
離纜車站有點距離",The restaurant is also good. The restaurant is late-opening
37,2023-01-17,Booking.com,Chinese,90,"溫泉非常棒，正宗的硫磺泉，早晚餐都很不錯.
離纜車站有點距離",Expensive price
38,2023-01-14,Booking.com,English,70,"good appartement size with balcony.
busy breakfast","It is considered a relatively good hotel in Binh Duong. The hotel is just behind the government building. The front desk can speak Chinese, so there is no problem with basic communication. The air conditioner in the room needs to be turned on for a while to be effective... The sanitation is also good, and the price/performance ratio is okay... But it's not cheap here..."
38,2023-01-14,Booking.com,English,70,"good appartement size with balcony.
busy breakfast",This is a decent place to stay at for a business trip. It is quiet and reasonable.
39,2023-01-08,Ctrip,Chinese,100,早餐好，环境佳,"Luxury, good location, dedicated service, professional."
39,2023-01-08,Ctrip,Chinese,100,早餐好，环境佳,"Great, attentive service"
40,2023-01-07,Google,English,100,Restaurant here having cuisine of Vietnam and other nations. Decoration great and good price. Service and taste also good. Highly recommend,"The hotel is beautiful, quiet, the room is modern and very good, the staff is polite and gentle"
40,2023-01-07,Google,English,100,Restaurant here having cuisine of Vietnam and other nations. Decoration great and good price. Service and taste also good. Highly recommend,Luxurious wedding venue
40,2023-01-07,Google,English,100,Restaurant here having cuisine of Vietnam and other nations. Decoration great and good price. Service and taste also good. Highly recommend,I'll be back soon.
41,2023-01-05,Google,English,60,"Nothing much nearby except for a Hikari. Room is spacious, will be better if they have bath tub","Fast check in, friendly staffs with good command of English. Room is clean, and comfortable. Breakfast buffet has a good variety of food served. Only feedback is the location is far away from downtown and you will need to take a taxi for about 15mins (8km). For dinner, there is only 1 restaurant available on site"
41,2023-01-05,Google,English,60,"Nothing much nearby except for a Hikari. Room is spacious, will be better if they have bath tub","Good hotel, clean and good staff"
42,2023-01-03,Agoda,English,56,Did not seem to change the pillow case?  Weird smell when you sleep on it. I would want to stay at the hotel section of the complex instead of the Apartment section next time.,Best hotel in binh duong
42,2023-01-03,Agoda,English,56,Did not seem to change the pillow case?  Weird smell when you sleep on it. I would want to stay at the hotel section of the complex instead of the Apartment section next time.,"My colleague and I were here in this area for a business trip. And we are pretty happy to find this hotel in the area. The standards exceeded our expectation, the rooms were clean and comfortable. Breakfast is pretty good as well. 
There are restaurants nearby, so the location is pretty good. Would stay again when we are back."
43,2023-01-01,Booking.com,Japanese,80,新都市の中心で便利 レストランエリアのヒカリに近い,"Hotel is literally in a new city. Need to walk some distance to the few available eateries.  If not, settle for the restaurant, cafe or room service.  Great food from hotel's restaurant. Very friendly hotel staff."
44,2022-12-29,Google,Vietnamese,100,Hotel lớn và sang trọng nhất trong khu vực. Phong cách làm việc chuyên nghiệp,"Stayed and experienced it, it's very good"
44,2022-12-29,Google,Vietnamese,100,Hotel lớn và sang trọng nhất trong khu vực. Phong cách làm việc chuyên nghiệp,Awesome property
45,2022-12-23,Agoda,Vietnamese,84,Rất ok,My family often visit here
46,2022-12-18,Google,Chinese,20,員工誠信讓人疑問，12/13check out，當天晚上發現錢忘在房間，櫃檯卻說找3次找不到，錢會自己長腳跑掉？還是房務拿走？誰知道？對越南人的評價：不予置評,"The room was an apartment in a separate building from the front desk, and had a kitchen. There was a terrace in the room, and although it was on the 8th floor, there were no tall buildings around, so the view was good. Breakfast is a restaurant on the first floor across the pool, buffet style, noodles are pho and bunkang, eggs are cooked on the spot, such as omelets. There were many types of fruits, and when they ran out, they replenished different fruits. There is a free rental bicycle for up to 1 hour, and I was happy that my child could practice riding in a nearby park. There is a soba restaurant Katsu within walking distance around the hotel, and there are many Chinese restaurants, so you don't have to worry about eating. It takes about 15 minutes by motorbike to the Burnham theme park, the zoo is 150,000 VND for adults, 40,000 VND for children, and the athletics where parents and children can play was 100,000 VND for adults, 50,000 VND for children.There seems to be a pool, but this time Not used. The electric cars that move around the park are free, and it's a very large facility, so it's fun just to move around."
47,2022-12-17,Google,English,100,Convenient for factory visits but too far from HCMC. Service is cumbersome to an American but probably normal for Asia. Restaurant if FANTASTIC! Make sure you grab breakfast. Room was clean and modern. Great shower.,"It's a standard star-rated hotel. It's very comfortable overall. I've lived here for several years. A new Family Mart is opened on the first floor, which is even more convenient."
47,2022-12-17,Google,English,100,Convenient for factory visits but too far from HCMC. Service is cumbersome to an American but probably normal for Asia. Restaurant if FANTASTIC! Make sure you grab breakfast. Room was clean and modern. Great shower.,Staff were extremely friendly and helpful. They even accorded us check out at 3pm. We are grateful for their kindness. Defintely return to stay whenever we are in Binh Duong city for business.
47,2022-12-17,Google,English,100,Convenient for factory visits but too far from HCMC. Service is cumbersome to an American but probably normal for Asia. Restaurant if FANTASTIC! Make sure you grab breakfast. Room was clean and modern. Great shower.,comfortable and good facilities
48,2022-12-16,Ctrip,Chinese,100,设施非常到位 尤其是早餐值得推荐 属于高级的商旅酒店,"There is nothing around, but the hotel facilities are perfect. It's in the countryside, so if it's in the 7,8,000 yen range, it's perfect."
48,2022-12-16,Ctrip,Chinese,100,设施非常到位 尤其是早餐值得推荐 属于高级的商旅酒店,Good overally
49,2022-12-12,Ctrip,Chinese,100,新城不多的选择。游泳池很好，早餐丰盛，隔音很好，位置很好，非常方便。,"Quality Good service, modern facilities "
49,2022-12-12,Ctrip,Chinese,100,新城不多的选择。游泳池很好，早餐丰盛，隔音很好，位置很好，非常方便。,"Wonderful, quite deserted, wide, clean, beautiful, large, comfortable parking space"
49,2022-12-12,Ctrip,Chinese,100,新城不多的选择。游泳池很好，早餐丰盛，隔音很好，位置很好，非常方便。,Wonderful
50,2022-12-10,Agoda,English,100,will definitely recommend,"One of my favorite places to stay in Binh Duong, the gym and pool are really nice, and they have 24 hour dine in service! Make sure to check out Eits cafe as well"
51,2022-12-07,Ctrip,Chinese,80,平阳新城区最好的酒店，设施如健身房都不错，床有点硬,Attentive service
51,2022-12-07,Ctrip,Chinese,80,平阳新城区最好的酒店，设施如健身房都不错，床有点硬,Haven't entered yet but looks ok from the outside. But there are no facilities around to have fun
51,2022-12-07,Ctrip,Chinese,80,平阳新城区最好的酒店，设施如健身房都不错，床有点硬,"Seem fine, quiet space"
52,2022-12-05,Agoda,Japanese,92,"外観は古く見えるが中身は一流で清潔
朝食も充実してる。近くの展示会が開催されてるときは人で混みあう",Good hotel for big conferences in the province 
52,2022-12-05,Agoda,Japanese,92,"外観は古く見えるが中身は一流で清潔
朝食も充実してる。近くの展示会が開催されてるときは人で混みあう","excellent, staff very kind and supportive!"
53,2022-12-04,Google,Korean,100,오랜 호텔이지만 럭셔리해서 좋아요 Nearby activities: 주변시설이 약해요,I stayed 10 days. I felt food is ok and very comfortable to stay. I stayed 10 days. I felt food is ok and very comfortable to stay.
53,2022-12-04,Google,Korean,100,오랜 호텔이지만 럭셔리해서 좋아요 Nearby activities: 주변시설이 약해요,"Luxury, polite hotel"
54,2022-11-30,Google,Vietnamese,100,Phục vụ tốt,"The room is comfortable and spacious and kept clean. The breakfast in the restaurant was very good, but the western food for dinner taste was far from menu. Whether it's a restaurant or a counter, getting an invoice is a hassle, especially for companies that have to print the name in English. The room is comfortable and spacious and kept clean. The breakfast in the restaurant was very good, but the western food for dinner taste was far from menu. Whether it's a restaurant or a counter, getting an invoice is a hassle, especially for companies that have to print the name in English."
56,2022-11-29,Google,English,100,Nearby activities: 골프,"I visited for the first time in two years, and the area around the hotel has changed completely. Family Mart was made next to the cafe next to the lobby. Convenient. The room has a large refrigerator, kitchen and sink, so you can cook light meals. It is fully air-conditioned and cools well. Amenity is enriched, too and does not struggle. The bath is a room with a shower only. The bed is big and there is an air conditioner in the bedroom, so you can sleep well. There is a large TV, but it is not turned on. I will use it again."
57,2022-11-27,Google,Vietnamese,100,nơi tổ chức sự kiện có dịch vụ tốt,"The food is delicious and reasonable price, nice staffs and environment."
58,2022-11-24,Booking.com,Chinese,90,"房間大 性價比超高
早餐豐富滿意.
飯店周邊沒什麼娛樂 只有樓下便利商店",Quite good service and food
58,2022-11-24,Booking.com,Chinese,90,"房間大 性價比超高
早餐豐富滿意.
飯店周邊沒什麼娛樂 只有樓下便利商店", neat and clean excelllent work or furniture is awesome must favorite light colour is petfwctly beutifull i like it
58,2022-11-24,Booking.com,Chinese,90,"房間大 性價比超高
早餐豐富滿意.
飯店周邊沒什麼娛樂 只有樓下便利商店",Cozy
59,2022-11-14,Google,Chinese,100,环境很好，服务好,Safe and clean place to stay for business trip in Bình duong
